"";"Sample_names";"D0";"D1";"D2";"sd.D0";"sd.D1";"sd.D2"
"CYCLUS1_BEKKEN_21_2h_SYBR_SHUTDOWN_rep2.fcs";"CYCLUS1_BEKKEN_21_2h_SYBR_SHUTDOWN_rep2.fcs";6922,51;1559,07237334859;840,93278371856;114,00155014009;19,9065544468755;10,0225386034364
"CYCLUS1_BEKKEN_21_2h_SYBR_SHUTDOWN_rep3.fcs";"CYCLUS1_BEKKEN_21_2h_SYBR_SHUTDOWN_rep3.fcs";7517,49;1663,93606476526;914,022460791355;102,423412628878;11,9462233278224;6,16407349018027
"CYCLUS1_BEKKEN_21_4h_SYBR_SHUTDOWN_rep1.fcs";"CYCLUS1_BEKKEN_21_4h_SYBR_SHUTDOWN_rep1.fcs";6797,52;1550,02570485257;863,350264398351;284,392156336736;68,1014083380622;39,0440734964056
"CYCLUS1_BEKKEN_21_4h_SYBR_SHUTDOWN_rep2.fcs";"CYCLUS1_BEKKEN_21_4h_SYBR_SHUTDOWN_rep2.fcs";7341,56;1670,54427528885;945,319946944366;100,980278102492;10,3886079385001;5,4993852689965
"CYCLUS1_BEKKEN_21_4h_SYBR_SHUTDOWN_rep3.fcs";"CYCLUS1_BEKKEN_21_4h_SYBR_SHUTDOWN_rep3.fcs";7277,55;1632,30852584446;910,462109740808;117,814472795154;15,9039329222057;8,93692071800494
"CYCLUS1_BEKKEN_21_6h_SYBR_SHUTDOWN_rep1.fcs";"CYCLUS1_BEKKEN_21_6h_SYBR_SHUTDOWN_rep1.fcs";7691,72;1772,35352860462;990,156503229111;93,9119596303696;11,4517125908528;5,9335508599687
"CYCLUS1_BEKKEN_21_6h_SYBR_SHUTDOWN_rep2.fcs";"CYCLUS1_BEKKEN_21_6h_SYBR_SHUTDOWN_rep2.fcs";7388,62;1698,47805907235;957,379363334791;247,152828849036;56,1118850180549;31,7148270513263
"CYCLUS1_BEKKEN_21_6h_SYBR_SHUTDOWN_rep3.fcs";"CYCLUS1_BEKKEN_21_6h_SYBR_SHUTDOWN_rep3.fcs";7531,81;1722,68065035413;965,960092946785;110,693652697319;16,2766502464318;9,39484322370352
"CYCLUS1_BEKKEN_21_8h_SYBR_SHUTDOWN_rep1.fcs";"CYCLUS1_BEKKEN_21_8h_SYBR_SHUTDOWN_rep1.fcs";7358,47;1669,51417757438;936,640723373451;249,068505241089;53,7698081181155;30,9644355626087
"CYCLUS1_BEKKEN_21_8h_SYBR_SHUTDOWN_rep2.fcs";"CYCLUS1_BEKKEN_21_8h_SYBR_SHUTDOWN_rep2.fcs";7523,59;1727,65925337203;969,176960571499;149,568881803804;29,089575453914;16,7975484529201
"CYCLUS1_BEKKEN_21_8h_SYBR_SHUTDOWN_rep3.fcs";"CYCLUS1_BEKKEN_21_8h_SYBR_SHUTDOWN_rep3.fcs";7555,2;1739,2012052924;986,111165820593;101,019050108623;12,0753012357921;5,58019079296923
"CYCLUS1_BEKKEN_22_A_SYBR_POSTCYCLE_rep1.fcs";"CYCLUS1_BEKKEN_22_A_SYBR_POSTCYCLE_rep1.fcs";7504,12;1668,79787023724;956,070048197573;104,238584143504;13,1562143703671;6,77478881619098
