"";"Sample_name";"D0";"D1";"sd.D1";"D2";"sd.D2";"counts";"volume";"dilution"
"171";"MI5S2-515-DMSO_rep3.fcs";14148;3240,71002521033;37,8948110691259;1991,99710082593;31,5225587737307;6157;50,137;2
"172";"MI5S2-715-2_rep1.fcs";12843;3209,30018050017;35,4834433761203;2088,65917351174;32,9663197648664;28635;50,079;2
"173";"MI5S2-715-2_rep2.fcs";13012;3170,1013273249;36,6455656040111;2051,37125333323;33,249231862123;29924;50,203;2
"174";"MI5S2-715-2_rep3.fcs";13015;3195,04737025319;33,5182760115299;2073,22009596141;33,3372774733653;29755;50,035;2
"175";"MI5S2-815_rep1.fcs";13242;3251,33605417799;37,5519025684685;2080,81967654231;34,5060142176994;104213;50,009;2
"176";"MI5S2-815_rep2.fcs";13138;3206,85575508045;35,7459695839337;2046,31486876572;32,8430644209521;106098;50,193;2
"177";"MI5S2-815_rep3.fcs";13648;3364,42719417023;37,3969683764302;2152,39745785445;35,2684588634749;100989;50,01;2
"178";"MI5S2-915-2_rep1.fcs";14545;3484,0935991008;39,2553242840353;2222,18626668217;34,2549556980081;11244;50,144;10
"179";"MI5S2-915-2_rep2.fcs";14750;3430,10588563517;38,2620025834958;2164,15696232773;35,4960517430974;11407;50,134;10
"180";"MI5S2-915-2_rep3.fcs";13736;3366,83331549721;37,883309758102;2139,02332324435;32,2997933782403;11677;50,153;10
"181";"MINE1-714_rep1.fcs";13674;2900,12110120319;35,7739275780387;1799,88593025564;30,3061950103481;162849;50,021;10
"182";"MINE1-714_rep2.fcs";13707;2917,04992288082;34,8994753409185;1808,01720481661;31,1108571061487;158808;50,019;10
"183";"MINE1-714_rep3.fcs";13841;2932,42995579619;35,2002781342291;1814,72624457722;30,4636057921919;160702;50,071;10
"184";"MINE1-715_rep1.fcs";13022;3218,83595171217;38,1143562629274;2074,72844952642;32,3101729612459;41265;50,107;10
"185";"MINE1-715_rep2.fcs";13371;3256,87289925744;38,0188029794514;2101,51372681496;34,1294388062069;38488;50,025;10
"186";"MINE1-715_rep3.fcs";13575;3344,53610330843;37,08883129986;2162,19585063259;34,4626620375788;40756;50,055;10
"187";"MINE1-914_rep1.fcs";13481;3264,49362830104;35,0497685002034;2096,40226604996;34,1074118679426;64594;50,139;10
"188";"MINE1-914_rep2.fcs";13936;3367,44595859641;35,7701279524867;2152,75041192232;33,0628791494886;63590;50,097;10
"189";"MINE1-914_rep3.fcs";13924;3415,33582219309;35,9799419404353;2187,2751885467;33,9784163912126;65587;50,133;10
"190";"MINE2-515_rep1.fcs";13663;3233,55503652805;36,301582436913;2020,37771163827;32,8273045662735;8042;50,132;10
"191";"MINE2-515_rep2.fcs";12714;3066,03466528469;35,4786939540323;1909,57387556751;30,1655113477507;7480;50,143;10
"192";"MINE2-515_rep3.fcs";14170;3362,68199730931;37,3841365369225;2093,64716645745;31,8298803590257;7731;50,14;10
"193";"MINE2-915_rep1.fcs";16720;3736,43794369164;39,7002005077473;2307,41881754354;33,5719268506518;41756;50,135;10
"194";"MINE2-915_rep2.fcs";16456;3708,99660687828;41,4009110921074;2307,50615100763;34,7690151814108;41130;50,114;10
"195";"MINE2-915_rep3.fcs";16236;3649,22377584049;39,8143635670462;2254,7113079171;35,0414998128903;39979;50,13;10
"196";"MINH1-714_rep1.fcs";13981;3221,90502999682;36,8285988090134;2019,90475236089;33,9840530800401;173117;50,048;10
"197";"MINH1-714_rep2.fcs";14484;3303,45404327858;36,7918943692675;2068,60602066608;33,7311021334929;173394;50,164;10
"198";"MINH1-714_rep3.fcs";13830;3189,34141218821;36,479050438239;2007,6000185111;33,2731843199324;167401;50,212;10
"199";"MINH1-715_rep1.fcs";17073;3921,24558211736;42,0436774822505;2437,29023275655;34,2183208159028;32615;50,035;10
"200";"MINH1-715_rep2.fcs";17285;4011,16488663314;39,6937276170477;2492,14169044138;34,6481752405144;32745;50,013;10
"201";"MINH1-715_rep3.fcs";17404;3960,31371408233;40,6813732205786;2458,44010237527;36,7083154607392;31924;50,035;10
"202";"MINH1-914_rep1.fcs";13500;3412,06773867813;37,4513359661704;2227,29926759917;34,3584779056036;45206;50,108;10
"203";"MINH1-914_rep2.fcs";13631;3413,46581544765;37,0332298770458;2221,12522259484;37,217757672101;45680;50,111;10
"204";"MINH1-914_rep3.fcs";13319;3327,34743835372;37,2788460458841;2176,04748583542;35,415668198473;44224;50,121;10
"205";"MINH2-515_rep1.fcs";13518;2872,05737604415;33,990298207236;1794,84209779897;29,9629592737217;163085;50,14;10
"206";"MINH2-515_rep2.fcs";13761;2907,29017993115;34,0755545384328;1808,28204871397;30,7857596795339;161865;50,21;10
"207";"MINH2-515_rep3.fcs";13748;2887,45285826735;33,0173287811115;1800,12072810543;29,1199608777297;162015;50,233;10
"208";"MINH2-915_rep1.fcs";14865;3467,11104167134;36,8370308572225;2154,82260702937;33,1943256343896;147034;50,122;10
"209";"MINH2-915_rep2.fcs";14838;3464,397762764;37,1044423121883;2155,08766156864;32,5019446304282;151858;50;10
"210";"MINH2-915_rep3.fcs";14796;3461,78434421023;37,8833823559481;2153,10526643218;33,5696049650652;148267;50,022;10
"211";"MLB40y-S-D_July_rep1.fcs";15825;3472,09441719727;40,9912954242057;2085,6839288057;32,8293948483682;153515;50,065;10
"212";"MLB40y-S-D_July_rep2.fcs";16021;3506,11543278869;38,7060689747715;2099,8711918873;33,1510765724265;151144;50,101;10
"213";"MLB40y-S-D_July_rep3.fcs";15586;3382,17271619656;37,9053578076315;2032,42852626456;31,619162953834;151178;50,152;10
"214";"MLB-915-2_rep1.fcs";14881;3531,41540383943;38,3660835960296;2234,79799909965;34,8911466783635;98609;50,104;10
